timestamp,src_ip,bytes_sent,duration_seconds,failed_login_attempts,hour_of_day,label,is_attack
2026-03-12 12:18:00,10.57.175.5,6949.46387689092,19.204657423519535,0,12,normal,False
2026-03-12 11:52:00,10.46.66.60,558.0290045388762,1.0,0,11,normal,False
2026-03-12 01:41:00,10.138.59.144,18904.41646126583,48.55149665924994,1,1,normal,False
2026-03-12 05:45:00,10.50.179.92,2065.6455324079616,5.748908898879052,0,5,normal,False
2026-03-12 22:44:00,10.91.194.161,14238.215573107143,31.07889176905263,0,22,normal,False
2026-03-12 19:35:00,10.214.251.188,1429.7693554219297,3.887017745258853,0,19,normal,False
2026-03-12 18:45:00,10.3.225.174,9403.636142608304,20.678418454199207,0,18,normal,False
2026-03-12 04:18:00,10.32.26.48,5915.801006771,16.020236161340115,0,4,normal,False
2026-03-12 17:11:00,10.107.185.250,318.0596944843026,1.1247350242952014,1,17,normal,False
2026-03-12 04:43:00,10.57.36.70,3992.609413963792,10.53646459336636,0,4,normal,False
2026-03-12 02:41:00,10.112.207.136,15371.550864056368,29.588439558461253,0,2,normal,False
2026-03-12 17:46:00,10.57.103.149,6849.640472515223,13.72039805048821,1,17,normal,False
2026-03-12 16:00:00,10.63.168.204,15195.274602416528,40.05228156935701,0,16,normal,False
2026-03-12 23:46:00,10.229.17.109,12803.333193926219,29.0040660196528,0,23,normal,False
2026-03-12 14:16:00,10.5.84.21,1628.8042293083674,4.221638282034527,0,14,normal,False
2026-03-12 06:17:00,10.249.57.121,101795.05172212911,253.00889982732488,0,6,normal,False
2026-03-12 03:44:00,10.45.8.183,741.6009900330636,2.1526703228772917,0,3,normal,False
2026-03-12 01:01:00,10.56.188.50,15661.726383480927,32.500828414494116,0,1,normal,False
2026-03-12 01:02:00,10.127.127.54,9780.494822882272,22.50771246437931,0,1,normal,False
2026-03-12 08:26:00,10.0.86.42,6610.759761994967,18.254555658633198,0,8,normal,False
2026-03-12 16:33:00,10.164.40.118,333.20761744876125,1.3415834923510128,1,16,normal,False
2026-03-12 19:12:00,10.129.49.207,1035.9150396316377,2.111909383861396,0,19,normal,False
2026-03-12 15:49:00,10.89.19.16,2302.4462703096665,5.623247866255244,0,15,normal,False
2026-03-12 17:15:00,10.160.215.53,4893.817134552269,10.686253624592991,0,17,normal,False
2026-03-12 22:15:00,10.42.104.173,27306.759397406873,56.82740924277227,0,22,normal,False
2026-03-12 16:08:00,10.230.206.201,1330.7164899673967,3.040089047857495,0,16,normal,False
2026-03-12 10:31:00,10.59.230.49,1948.5294053814318,4.871143918369191,0,10,normal,False
2026-03-12 16:16:00,10.93.61.29,1298.2682882553772,2.697051784688597,0,16,normal,False
2026-03-12 08:03:00,10.190.177.44,4487.490196273128,12.396602569092769,0,8,normal,False
2026-03-12 08:58:00,10.16.66.151,5322.340853664071,11.575577948662458,0,8,normal,False
2026-03-12 20:18:00,10.189.40.194,7057.839838747926,27.56275931751635,0,20,normal,False
2026-03-12 10:17:00,10.213.67.214,908.5647538798797,2.095182588781269,0,10,normal,False
2026-03-12 14:13:00,10.68.114.249,10682.372454587343,21.06719974049794,0,14,normal,False
2026-03-12 14:45:00,10.76.147.55,214.30594725257168,1.0,0,14,normal,False
2026-03-12 20:47:00,10.227.128.207,1628.1194439392082,5.2237181180770955,0,20,normal,False
2026-03-12 21:40:00,10.152.76.6,1685.9715054208302,4.306840564924098,0,21,normal,False
2026-03-12 14:39:00,10.146.150.231,18784.175618241043,39.36523943800821,0,14,normal,False
2026-03-12 11:28:00,10.113.177.38,60392.27854417045,144.06667017651466,0,11,normal,False
2026-03-12 19:30:00,10.197.234.233,20146.941531067598,41.707434272485315,0,19,normal,False
2026-03-12 06:50:00,10.96.170.32,2529.367085630977,5.619428493469255,0,6,normal,False
2026-03-12 11:53:00,10.44.180.183,5311.873698996955,11.318547644361404,0,11,normal,False
2026-03-12 04:22:00,10.137.200.105,4774.307708806362,14.21639492164065,0,4,normal,False
2026-03-12 19:45:00,10.5.1.112,653.1633729720568,1.0,0,19,normal,False
2026-03-12 17:33:00,10.83.44.73,24006.46779555683,55.40409094630018,0,17,normal,False
2026-03-12 18:19:00,10.157.1.213,567.3998349923421,1.0,0,18,normal,False
2026-03-12 10:16:00,10.156.121.245,10430.006742515681,23.37300538200616,1,10,normal,False
2026-03-12 10:50:00,10.134.231.205,6112.912416217527,14.097246435688955,0,10,normal,False
2026-03-12 08:27:00,10.25.168.85,9560.960774148505,19.516849420870784,0,8,normal,False
2026-03-12 08:48:00,10.151.46.118,9439.212886482506,23.01098080047726,0,8,normal,False
